Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM A


02/03/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;51;GUSTAVO GONÇALVES;9;;;44.19;1:08.082;
2;58;BASTIEN ROUVIERE;9;5.750;5.750;43.79;1:08.922;
3;63;LUIS CUNHA;9;16.632;10.882;43.05;1:10.297;
4;72;RUBEN AZEVEDO;9;26.140;9.508;42.41;1:09.961;
5;55;ALVARO BESSA;9;26.722;0.582;42.38;1:09.610;
6;71;TIAGO FERREIRA;9;28.054;1.332;42.29;1:10.281;
7;70;PEDRO ALVES;9;29.769;1.715;42.18;1:10.281;
8;66;LOURENÇO IGREJA;9;30.277;0.508;42.15;1:10.316;
9;56;JOAO FARIA;9;30.808;0.531;42.11;1:10.929;
10;60;PEDRO CONCEIÇÃO;9;31.671;0.863;42.06;1:09.836;
11;59;JOAO COUTINHO;9;32.300;0.629;42.02;1:11.196;
12;75;RUI CAMPOS;9;41.273;8.973;41.45;1:11.075;
13;64;SERGIO LADEIRA;9;50.429;9.156;40.89;1:11.781;
14;62;WILSON PEDROSA;9;50.668;0.239;40.87;1:11.879;
15;65;FABIO RAMIRO;9;55.148;4.480;40.60;1:12.715;
16;68;SANTIAGO MADALENO;9;59.171;4.023;40.36;1:10.109;
Melhor volta : GUSTAVO GONÇALVES - 1:08.082 (44.95 km/h)


02/03/2024 - 12:13


DF - Final













Dia : LUIS DUARTE - 1:07.488


Semana : PEDRO MOURA - 1:00.156


Mês : PEDRO MOURA - 1:00.156


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : HUGO CARVALHIDO - 52.801
