Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM A


02/03/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs
1;70;TOMAS XAVIER;10;;;47.72;1:02.411;
2;65;ANDRE ANDRADE;10;5.457;5.457;47.31;1:02.199;
3;68;JP CAMPOS COSTA;10;9.625;4.168;47.01;1:03.047;
4;63;MIGUEL BENTO;10;9.656;0.031;47.01;1:02.816;
5;54;HUGO MARINHO;10;12.231;2.575;46.82;1:02.825;
6;61;FILIPE OLIVEIRA;10;15.086;2.855;46.62;1:03.172;
7;75;PEDRO NUNES;10;15.614;0.528;46.58;1:03.739;
8;71;FREDERICO BRITO;10;21.028;5.414;46.20;1:04.343;
9;74;ROBERTO BARBOSA;10;24.426;3.398;45.96;1:03.895;
10;55;HELDER MOREIRA;10;27.168;2.742;45.78;1:04.582;
11;60;RICARDO FONTÃO;10;29.317;2.149;45.63;1:04.121;
12;51;AFONSO SERRANO;10;39.426;10.109;44.95;1:04.398;
13;72;JOAQUIM ABREU;10;46.563;7.137;44.49;1:05.938;
14;56;EMANUEL TEIXEIRA;10;50.742;4.179;44.22;1:04.800;
15;64;JOAO PAULO ALMEIDA;10;51.270;0.528;44.18;1:06.461;
16;62;VASCO VINHAS;10;52.512;1.242;44.10;1:06.641;
17;66;DIOGO MADALENO;10;52.965;0.453;44.08;1:03.703;
18;58;RUBEN COSTA;9;1 Volta;1 Volta;47.73;1:02.246;
Melhor volta : ANDRE ANDRADE - 1:02.199 (49.20 km/h)


02/03/2024 - 14:12


GH - Final













Dia : ANDRE ANDRADE - 1:02.199


Semana : PEDRO MOURA - 1:00.156


Mês : PEDRO MOURA - 1:00.156


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : HUGO CARVALHIDO - 52.801
