Apex Timing - drive your success https://www.apex-timing.com/


Kartodromo Cabo do Mundo - KCM A


02/03/2024 - Apex Timing GoKarts 4.42.01





Clssf.;Kart;Piloto;Voltas;Diferença;Inter.;km/h;Melhor volta;Boxs;Penalização
1;67;DANIEL PINTO;9;;;42.94;1:10.140;;
2;54;DAVID COSTA;9;7.450;7.450;42.45;1:10.695;;
3;59;HUGO BRANDÃO;9;8.813;1.363;42.36;1:09.024;;
4;71;ALICE FERREIRA;9;;;43.04;1:09.891;;3 Posições
5;70;LUIS SOUSA;9;9.485;11.035;42.31;1:10.914;;
6;51;DANIEL MACHADO;9;10.297;0.812;42.26;1:09.996;;
7;52;JONI FERREIRA;9;19.137;8.840;41.70;1:11.789;;
8;72;DIOGO SILVA;9;22.063;2.926;41.51;1:11.977;;
9;60;MIGUEL SOUSA;9;29.071;7.008;41.08;1:12.477;;
10;68;TIAGO PEREIRA;9;36.657;7.586;40.62;1:12.512;;
11;55;ANTONIO CASTELO;9;39.309;2.652;40.46;1:12.231;;
12;74;LUIS GUEDES;9;42.696;3.387;40.26;1:13.446;;
13;64;PEDRO GRANJA-CORTES;9;1:10.696;28.000;38.68;1:13.481;;
14;63;MARIA FRANCISCA;9;1:21.106;10.410;38.12;1:13.128;;
15;66;ROGERIO TELES;8;1 Volta;1 Volta;37.61;1:13.793;;
16;56;HUGO BARROS;8;1 Volta;24.149;36.26;1:17.203;;
17;62;RICARDO NETO;8;1 Volta;18.750;35.28;1:13.074;;
18;75;PEDRO SILVA;8;1 Volta;6.898;34.94;1:18.239;;
Melhor volta : HUGO BRANDÃO - 1:09.024 (44.33 km/h)


02/03/2024 - 16:39


MN - Final













Dia : EDUARDO CUSTODIA - 57.629


Semana : EDUARDO CUSTODIA - 57.629


Mês : EDUARDO CUSTODIA - 57.629


MELHORES TEMPOS - CRG CENTURION


Recorde da pista : HUGO CARVALHIDO - 52.801
